Date,Open,High,Low,Close,Volume
2020.05.20,18:00,17.97854,17.98120,17.92876,17.94585,2594
2020.05.20,19:00,17.94545,17.94639,17.89266,17.89400,2455
2020.05.20,20:00,17.89442,17.92086,17.89197,17.91095,3163
2020.05.20,21:00,17.91066,17.94290,17.90988,17.91075,1327
2020.05.20,22:05,17.91580,17.92825,17.90829,17.90875,136
2020.05.20,23:05,17.90916,17.91361,17.90642,17.91115,178
2020.05.21,00:00,17.91207,17.92083,17.91075,17.91955,280
2020.05.21,01:00,17.91952,17.95885,17.91952,17.94600,1315
2020.05.21,02:00,17.94680,17.97635,17.94345,17.97255,1888
2020.05.21,03:00,17.97264,18.00210,17.96735,17.99935,1037
2020.05.21,04:00,17.99927,18.00518,17.98543,17.99512,913
2020.05.21,05:00,17.99512,17.99872,17.98068,17.98344,1768
2020.05.21,06:00,17.98322,18.03170,17.97723,18.01156,1235
2020.05.21,07:00,18.01260,18.04535,17.99265,18.01732,2605
2020.05.21,08:00,18.01720,18.04079,17.88337,17.89080,4664
2020.05.21,09:00,17.89100,17.95652,17.88031,17.90034,3897
2020.05.21,10:00,17.89994,17.96943,17.89673,17.95344,5119
2020.05.21,11:00,17.95337,17.97050,17.89148,17.90848,5517
2020.05.21,12:00,17.90898,17.91055,17.85818,17.88942,4018
2020.05.21,13:00,17.89017,17.90206,17.79066,17.80132,5372
2020.05.21,14:00,17.80112,17.81379,17.51335,17.62283,9123
2020.05.21,15:00,17.62436,17.73088,17.59171,17.67552,10155
2020.05.21,16:00,17.67611,17.72901,17.62608,17.65401,7582
2020.05.21,17:00,17.65402,17.65419,17.59753,17.63495,5352
2020.05.21,18:00,17.63475,17.64280,17.57605,17.58975,4054
2020.05.21,19:00,17.58935,17.61868,17.55985,17.58439,3538
2020.05.21,20:00,17.58445,17.61339,17.57308,17.57433,1535
2020.05.21,21:00,17.57371,17.61267,17.57371,17.57980,1451
2020.05.21,22:05,17.58275,17.59924,17.57970,17.59131,183
2020.05.21,23:05,17.59018,17.59702,17.57660,17.58750,208
2020.05.22,00:00,17.58822,17.59335,17.57625,17.57735,1026
2020.05.22,01:00,17.57828,17.58019,17.55345,17.56216,1107
2020.05.22,02:00,17.56233,17.60405,17.56073,17.59985,1041
2020.05.22,03:00,17.60055,17.62963,17.59543,17.62445,1137
2020.05.22,04:00,17.62463,17.66919,17.62095,17.66117,1677
2020.05.22,05:00,17.66123,17.67486,17.65595,17.67167,873
2020.05.22,06:00,17.67092,17.71639,17.67041,17.70325,1393
2020.05.22,07:00,17.70477,17.72396,17.62349,17.71140,3858
2020.05.22,08:00,17.71136,17.86174,17.69036,17.83498,6381
2020.05.22,09:00,17.83451,17.87753,17.77148,17.78283,5775
2020.05.22,10:00,17.78275,17.82155,17.73118,17.78805,6436
2020.05.22,11:00,17.78998,17.79143,17.64093,17.64597,5146
2020.05.22,12:00,17.64599,17.67303,17.60277,17.62225,4286
2020.05.22,13:00,17.62209,17.69588,17.60872,17.67190,4713
2020.05.22,14:00,17.67200,17.74874,17.64665,17.74004,5685
2020.05.22,15:00,17.74067,17.80900,17.67346,17.70889,6861
2020.05.22,16:00,17.70862,17.73239,17.67184,17.70580,5375
2020.05.22,17:00,17.70697,17.72081,17.67371,17.67505,3281
2020.05.22,18:00,17.67501,17.68201,17.61580,17.62251,4387
2020.05.22,19:00,17.62289,17.63305,17.59301,17.62335,2910
2020.05.22,20:00,17.62333,17.62879,17.58895,17.58905,3551
2020.05.22,21:00,17.59088,17.61205,17.58487,17.60770,1627
2020.05.24,22:05,17.61330,17.61930,17.60725,17.61054,108
2020.05.24,23:05,17.61047,17.61225,17.59145,17.60289,317
2020.05.25,00:00,17.60607,17.60684,17.56241,17.56705,371
2020.05.25,01:00,17.56715,17.58024,17.55615,17.57854,745
2020.05.25,02:00,17.57794,17.58775,17.56517,17.57905,441
2020.05.25,03:00,17.57905,17.57905,17.57204,17.57533,467
2020.05.25,04:00,17.57541,17.58752,17.57426,17.57823,731
2020.05.25,05:00,17.57796,17.57966,17.57127,17.57450,839
2020.05.25,06:00,17.57464,17.57582,17.54707,17.54730,1675
2020.05.25,07:00,17.55145,17.59903,17.52838,17.59765,2931
2020.05.25,08:00,17.59751,17.66464,17.59751,17.63854,4071
2020.05.25,09:00,17.63861,17.65463,17.56161,17.58565,3826
2020.05.25,10:00,17.58602,17.61222,17.56600,17.60425,3192
2020.05.25,11:00,17.60635,17.63865,17.58517,17.59415,3491
2020.05.25,12:00,17.59344,17.64486,17.59285,17.63792,3364
2020.05.25,13:00,17.63791,17.67538,17.61525,17.64443,3755
2020.05.25,14:00,17.64675,17.69568,17.64529,17.69514,3089
2020.05.25,15:00,17.69453,17.73003,17.63490,17.67016,3010
2020.05.25,16:00,17.67016,17.67758,17.65675,17.65908,3462
2020.05.25,17:00,17.65978,17.66824,17.63285,17.63285,1021
2020.05.25,18:00,17.63393,17.63393,17.60985,17.61915,809
2020.05.25,19:00,17.61812,17.65425,17.61394,17.63913,663
2020.05.25,20:00,17.63881,17.65124,17.61192,17.63544,1071
2020.05.25,21:00,17.63664,17.64030,17.61200,17.63885,322
2020.05.25,22:05,17.63825,17.64025,17.61769,17.62690,519
2020.05.25,23:05,17.62670,17.63455,17.62461,17.62943,1387
2020.05.26,00:00,17.62907,17.65155,17.62090,17.64065,678
2020.05.26,01:00,17.64035,17.64405,17.58045,17.58547,1270
2020.05.26,02:00,17.58537,17.59133,17.58162,17.59125,2600
2020.05.26,03:00,17.59127,17.59225,17.58099,17.58559,2914
2020.05.26,04:00,17.58569,17.58651,17.55096,17.55096,1366
2020.05.26,05:00,17.55135,17.55742,17.53246,17.54078,1242
2020.05.26,06:00,17.54078,17.54683,17.49505,17.50365,2197
2020.05.26,07:00,17.50331,17.51750,17.45879,17.49066,4129
2020.05.26,08:00,17.49139,17.50938,17.39228,17.42852,5455
2020.05.26,09:00,17.42790,17.47166,17.40100,17.41746,5637
2020.05.26,10:00,17.41737,17.43684,17.39565,17.42665,4457
